ORGINAL,MD2,MD5,SHA_1,SHA_256,SHA_384,SHA_512
"Triumphal",6ba1ecff14dc88cdbc395dba53ee54ac,6261ac17e6a07734db7edd6e5734d511,6501b175e53589bdac807b311722c2a255bfe2e2,529f43ee7040562d5980f1dcae9443782a5792559fcf9ebc6edceea29735bde4,bf604cd3ac71ae2238ffc43774ed69740fcceb9525f21cf7ab0d8bd13d1c8d2f4504a2c0606b71753fc333a08d1ffcc2,a5608a3eb79edaa70fd4f5677580967d65f1876b28b6122a504b17c21f96db52118aefe522f99ef46e3b25dd98d4f4ae0c516a4db12ba78c6201eac60ddbd7e4
"arch,",0cd3ebff7c75942a14c19d93cc2bd018,b2030941a090bc55d7fb71f5e274fe4e,2db995464475737d31f526ac9f13c22b7b4002bd,84d144241f33780ad5ac54f9825d28049386779cf5e05aac27e708d0b100a023,e60c3d304e25cf6e1132d5d234e06ad7e04cfe393011a7fbfcb6fbc07df7bc9837cf01db14b8c02b72a61428562091de,72c73944216113a3dbbf77b771f40f99664b4d470f56a4609602275ec483ab40ed43e412c7045404ff9833d93ddcc5b071c273d8e40895e909ec709555e722c1
"that",791c68c30e1469486f541602f8c7f26e,21582c6c30be1217322cdb9aebaf4a59,33b82201081ec7c438cb5d9a36cd72bcb153050b,8e7fc0236af43df9340685fc16f1efe36543cc1707051220a103ad99cf69a2df,1f31907460d7757cdd2b22f12a5aaf58dfcc4549b002d53abab4b7a1ff0e3d31e12ff87d4efad8e5299a87d100f2d804,10a47406ff35a59c42fbf94624f25f2dd4c265bcd4072d81ecbd39a9c3b5b82cad7a0abbda36102e203c84dfd329e23cee61b67afbe3cebb4cb0153786219fef
"fill'st",deec6654098ca55be036b5631a039471,90101fe692cb3ff0afbf13fa39caea16,57f350d2c5942fd0426ac1223db38f929ba315c8,6bcbc2c32b9c818f045065bb25032762f507b9f7c12568b07576459e6b2ff972,359c5ce1f65480cffdaa7b1b5cc51b78df8b2f31809b6becfa2aa24429c5ed62ebc22bf7f76959ff766dc5558ca44723,e0b087bff09aed9f942caf811236848e5a195819631dd02ae9685cb603b91a5f76d2592804593154ecd1d86d0e135641d8e774c0ab56f41e3b958e6425fb2d0a
"the",974bdd1b0fec48ea752a2aa5336aa91e,8fc42c6ddf9966db3b09e84365034357,bbccdf2efb33b52e6c9d0a14dd70b2d415fbea6e,b9776d7ddf459c9ad5b0e1d6ac61e27befb5e99fd62446677600d7cacef544d0,96abaa85d6ea8579506dd39b70cf2699c9149f7ba72d2eb44098c3b42ea9a25c9506e478e9112a1eeac352a00b8f5127,1feaecfa5329e5dd1cc07f12dad3406feb257db111a06783e6857b4498b0bc9a28d51cfb32354a1ed636cd99e4d2bbfc4466b17c10147632366234e6a2e8b2f6
"sky",252f4a5206df02bce3be027e8944dd7e,900bc885d7553375aec470198a9514f3,5737ef08a3ec16a337ac79a1d719fb91acba20a4,05f514fae7ca5710f9e9289a20a5c9b372af781bfc94dd23d9cb8a044122460f,835876fcca15ffcf12588e0ce555fa68aba29f1d9dda92fdeef8477a74e929d51dedb3390f981396651421bcf6ca8c6f,c5f5dd13518c311f2a848d357e8dc88eaab6ce82e2dfd0b7ca1bc42bd19fcefe3a05c9f08a2399cd80e9b406a17eb453eff32c88599a770f662b4815ef165f42
"When",7fa4e4bda975c63b46c515bf1906d980,4e97aeeaa8b15ca1180fcd1f3ac478d1,769bb19e615b7f8e2809e5882e2d05a18f57a531,cf9c7aa24a26aac4f0ec4b6395cbfdcc055677c3dac87bd6af898bccd66d4e17,4cceedcf60ce81a63eb09ffbb55c21e4c2e78016d490052872e8b380b386feb704d5b3c1f998937a85f154bc8449e4f9,31c9cbb3198132118bfbf4dc5e1c0451a649f2aaaa10ecbde5a9e1009201575d8c435f79e3a7034b773166ab732ac4234e5159b38ed0490972ea0f07f3dccbc8
"storms",061860305ab7e15a25b0508ffc8af707,ce25aa0e58c554e06268b813d7b1463f,9f38cb5f09df862f1ec8891616fd0f4980a8d4de,e5cb6d6492935107cbcae4737548573b682bc7d36ef8d373965495f7d70fae47,82b513535f573f80054d5022d412a29f5832cf65a9e20ac5fc927afd542192712bd62febc58e2b8fb5cc87134cf2180e,63a2bd87d2849bf4998b4e1fcb104e1555aa3825b05a05ad267ddcd455a87115ef9f7057a6af8111c005e4809e38939d2dda7c1eda25de292f28a3a5f1542ad1
"prepare",165df1848456ea72e4eec59f10d34c11,0ee63ccea22773b7b711a299adc32792,4197eb0cd81150e5a79910017429267fa67f4ad0,45666d976bab316d970ec459afd866d9e9a0681ac510f0911f2ac33e9142e51b,2f906eacaf4cfd7e5d3c4327546f53bd85db7a6ed0ee4dff65bfe2c2133ce61d14a1154a47607d8407b449b587f278d8,71e7c4d252a644609f99ad1cc58f2c30b4c830cc71ba33e002a646cccf93daddbc0582b39126c0d4961a7b5028008faf53775b282412934cb806f7a40fe51c49
"to",75254b82db1f67de26ca7565f014a884,01b6e20344b68835c5ed1ddedf20d531,4374aaee247fb237ce6c97d5c8d64bbe474d16de,663ea1bfffe5038f3f0cf667f14c4257eff52d77ce7f2a218f72e9286616ea39,2f94d4dcae3c2a95cc286f78bbad8c49d023cfc6c82602e2826c61f12a7912be41e5e6e8c77263915da9fce1f5b5ef70,34b7851a703d3381162da0ac1bbdab36c91d38f99d3d04cbc5d8f49c51c5bce64d6db6235f933d5c2028cca9f1f8b137c680161261f982f97ab212a68ad23cc8
"part,",bfa0e7dc7f0000ee2324b2a3df3c5250,1b4e87bfb7ad4dd721bb43f1c6415c5e,5c675c244681547541af6e14a3f4a46eacf9f8b6,7be747625e5eaa03131baca9e4f8fcbe75c210eab94c1d80a279bdd83bcdfd61,a7791edc8cb2a1c070281ebc75c9e9dce3f77c63f05a849437d68bc33d494a168f5ca4038269ee9c88914f236ca4d9ed,e3423333fd4b1d7a24a47e1f39fa172879f737dd17a202ba91aa795a60dadba6cdfc450969927d7723dec120b8e8ac6b9bed7bc5ad126ef2622fde43de150803
"I",e4df84e93a391aa009ebdb893d5c3fe8,dd7536794b63bf90eccfd37f9b147d7f,ca73ab65568cd125c2d27a22bbd9e863c10b675d,a83dd0ccbffe39d071cc317ddf6e97f5c6b1c87af91919271f9fa140b0508c6c,54738b3c22eb17fa6f32dce8ae4c2bbf474ac7d89cf3aad01490246c943579ef28e6537f948eab03e5b8ecece20f0683,32b1786eca2b9f815b4c52b999e2b34dae877a86c00e8f745e7ac23388665c0703a947085bd7f975c5210ffab9b5a8f3931ab40b26cd7bccc4d7690cd19a4277
"ask",736b2ac185ad9aff1c912b324b879c73,5ed33f7008771c9d49e3716aeaeca581,1c8f09270fc33a393af3eaf0b2ebf58eb9bbbcc2,2f2fc7f2e9ce13b09b84f63d54d0b4a59f4dbd46aea41da67023817e2d0c5e59,d8003769dc13e123f69ade9ce2214bfeea9ace57960a98e5b8da1d2132dcd2eda2d8f034939a78aa686dd46626fc5231,6ee643a0a360cb838a32214bdd60655f33f35d0b34255e3795e8add7c2044a3f3475e6bc204b60b419c4a618628f51bc462ad5477d1858aa1c5f5cfbb9fd87eb
"not",0402a92bdcbc21ee0968e9359852bb00,d529e941509eb9e9b9cfaeae1fe7ca23,557f255516719ea16f8f4a0aae1166054e2c9b43,254bb97b57f12e1608fefc4517de768427b2fd6d2cffbbfcbc09f3c818198d5f,225bede6deb3cb5c03217ef72f9fb814ba6f2277bcdb5b2f16a2f0466b97513259cdb78fba282677b8f7b953cc8f472e,d054ecd5373bc075e4495c775e3d7d78380a50962e0ff88f1ac2bd910b12cfd5c1b7d618fce7401146d0cb6aec4e3edf0d4c2c54ce914c8ae554de4b054fab85
"proud",d132dbe90da4265393776c207fb51d25,a3e0f6576a754059784babff593d798a,0f4d4213d6d9c701b432e33016a301220d1f0c04,d069c85283b98c2c0ca831cb4fd19356e98813b5d0ee31e7b7a4a894e8aca23c,94e19f92dab443a3270ef3f2b1fa15e3cbcf423c92a77fc3e3842c4d1cc4ca757bb2c0d111e90b235740e538eb6d26b6,0236fba37fcb8b344437f39f6b9630234296a81e26363e33dffbb24abc7cab1876f4524488926d8e5b1ed99e9505510881d08d3c5132ef6d3d9ce5015ab6cc25
"Philosophy",fbe45c3f3b73da7ce92e86fe8eac343c,e5348e0c46480066c8c2176421798201,496e9438ab65557e3360c256d99d6d71460da8a3,7f3d81eb0817c1bf0e04af5bc5888c49fc70fb1f11190b307c81a05f8ced39c2,78a2af9177a45ed0bacb81ece1c269d7def2b717f186581f6ae39b0a33eac86b5c600a5ac1157e138a6a7f04cb45358e,cc4d49fed4bd8d632d78c26e3b5d0263c169850a59293a9a60bb9b8f8a72a9c751e6070b8667a547a2dd8c5562b05eca6cfc6dfd817b78657da7ee1c25173f52
"To",0f94736d7d7623f8cc22c2ed05dde1ae,e12167aa0a7698e6ebc92b4ce3909b53,ae79ea1e9c6391a9ed83a2e18a031b835feec0c9,f4b06ef6d3c81436f60a318c81c42f8f7e2d774d45a22f3b9b5f3b6980d28146,517e4e28dac7ee8f0aab2d8e3a25b54dcb4751c2826f2e364702652abedb7aadbddc44eb5574d04df957ef4e6d04fc3c,f63de15cee0e8db572c796db3bb389ff90614907ac4a67e33dc64d2a3df350f501c7b7d641afce60b2560e568156d0abf1a26c457b8f7a7b6b570e31609a7e4c
"teach",eec1afe813aec561932f70d0173bd7c4,38cc16707c6795b8016cda508226ca54,bbe5bb364fb35f88df5606eb529a57b373547465,eb0b4270edb36c1ea88cc99ee34e45b591da06b486f6b3e7fde5ba7a9c283349,ff79a06a1f8406229895a78b0dbf1a71b9e7243ac09525033d961a47738fdd41daf0e2d43235a02dc6946f5da4b9d044,0ad1233c685de70d5aa2db34a45c5f6766bc4ed4a2aa35d3d386aae8bb92eb198dec9f26066fb13589de3309684f8195713be119694f36ef9035dc7e224b0dac
"me",b65422b5b6c700082c0e3fd03cb8f513,ab86a1e1ef70dff97959067b723c5c24,b1c1d8736f20db3fb6c1c66bb1455ed43909f0d8,2744ccd10c7533bd736ad890f9dd5cab2adb27b07d500b9493f29cdc420cb2e0,81ef3e5006ef1e95116c11f7016342035009c64a0793d511d10eaf47379e018677a5f59bca9aa9b32e10eb23b58b0ca7,9ba0945246f77fdd27f99e1120cc6211f08ddb27ed32af6cf8113df881ab1c823629ec0d65a9a2a7a06c4527e82d95d70a01b776baef2f3737d158b47bddd545
"what",d34c86c71cc8e970748ac5582f234a23,4a2028eceac5e1f4d252ea13c71ecec6,a110e6b9a361653a042e3f5dfbac4c6105693789,749ab2c0d06c42ae3b841b79e79875f02b3a042e43c92378cd28bd444c04d284,e20a194cefd215a052bd6f7919ba7e1eb1a08beb8aefb972491d543e473731c9e30fdf394898160e76f53cc93df589c9,813db7fa66134df5295d98c5abbf90ff7206d68f3372a25138ee9c2bbb4c96d22f978ffd3da550f8dc38a15e106bec5266f91bc8447241b79e4ae0ce9fb8ff88
"thou",35fa146f015b472d7f9268573d4f9b85,d39f3967327daee70fac2431efa0d93d,0992bbc92d937658101e3d0735a879854b9005da,f69c374d0b523b5758151da75806c845386570f8c5f088b3388f2b114b3f1063,b5c24b91f0bb41aff92f6cf02b948096e9b173feabc5a88de8042eaa0c1876ee6a1b6b880168b82386b38b75a0851563,6a3d5793da023220cb1fa1ffd2f6d89af5dcb114d6a7a866a3eca21899503f5fcbe7df5c7d31ad43e595ee2b0c2befc3402f2c793e7c130ad002d554de9b6dde
"art;",6444e49a0d8707c8e61e1dd11e35e9a0,1309556a5dbae8010d751b5445235b09,5b8f4543c8d843aeba01c4d17fa4c6b491e5cc68,03a775838765b4bcd664ed960760064a0e0b375f2077b631b19af21752177d6a,d954fc154e9148ed483449941888c86629e46f3f41e86ee7160d1f9e38d19ac0ed9b29a33bf8bbb2ad2cfa0bd8a43762,982ff2350217548dfaa5e2c3fad1d2f76b5b400350ba3807ce75266e200d1c769767b1ff37c86acb826d3337219faf423b4c03cafa8abb6573163b703d076677
"—",834fe00b3f9b91751181c0de826346b9,c444b580079efb1fe408f17f029e5d35,fa138ae356d35c8d77083c406a5be73745643aae,2a0ab732b4e9d85ef7dc25303b64ab527c25a4d77815ebb579f396ec6caccad3,27a71dd40ff1af42912993dbc4c27e53adf00c7fea7e60b9a01ac51a5f7ba7ca6fab1ca4da4fa5c4ec166698496871b3,cabc0f199e27bc609e318e283a7cc3882599b1538ee7794082fd17aa6f4b32a3ff6b7169d87ca21d0dfd122c4d4d54e4cc40bf1f940489a2561c725a362b8a80
"Still",049e691ee75dcfb6198e53e7bbfcefc9,cddbd3031f6f6e9708e2eb9c1a467f65,b493d179b940a15b26e0fa74611e34abec0ce2e8,70bcb5a44e57c4a79c790c828905a50769b01d84259302a961be519f2b289058,cf27a4508bf6720a6ded43c3548a3a78d477726ab30f3127f15c75e6696e16910cb1413a1c702a65669cf3b49245dfe1,211a2f28c54e4f99aec03e45b78c9c5dece28a923e3af31958e3628af7bb7c0e647285037679afac74a9ee7659bf605d1eece5eee5dcba978f6ffa9673474674
